title,artists,album,duration_seconds,kind,playlists,score,youtube_url,spotify_url
Harmonious Fusion Track 1 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,240,music,bengali-folk; modern-bengali,75.0,https://www.youtube.com/watch?v=sj_0001multi,
Harmonious Fusion Track 2 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,247,music,bengali-folk; modern-bengali,76.0,https://www.youtube.com/watch?v=sj_0002multi,
Harmonious Fusion Track 3 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,254,music,bengali-folk; modern-bengali,77.0,https://www.youtube.com/watch?v=sj_0003multi,
Harmonious Fusion Track 4 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,261,music,bengali-folk; modern-bengali,78.0,https://www.youtube.com/watch?v=sj_0004multi,
Harmonious Fusion Track 5 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,268,music,bengali-folk; modern-bengali,79.0,https://www.youtube.com/watch?v=sj_0005multi,
Harmonious Fusion Track 6 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,275,music,bengali-folk; modern-bengali,80.0,https://www.youtube.com/watch?v=sj_0006multi,
Harmonious Fusion Track 7 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,282,music,bengali-folk; modern-bengali,81.0,https://www.youtube.com/watch?v=sj_0007multi,
Harmonious Fusion Track 8 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,289,music,bengali-folk; modern-bengali,82.0,https://www.youtube.com/watch?v=sj_0008multi,
Harmonious Fusion Track 9 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,296,music,bengali-folk; modern-bengali,83.0,https://www.youtube.com/watch?v=sj_0009multi,
Harmonious Fusion Track 10 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,303,music,bengali-folk; modern-bengali,84.0,https://www.youtube.com/watch?v=sj_0010multi,
Harmonious Fusion Track 11 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,310,music,bengali-folk; modern-bengali,85.0,https://www.youtube.com/watch?v=sj_0011multi,
Harmonious Fusion Track 12 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,317,music,bengali-folk; modern-bengali,86.0,https://www.youtube.com/watch?v=sj_0012multi,
Harmonious Fusion Track 13 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,324,music,bengali-folk; modern-bengali,87.0,https://www.youtube.com/watch?v=sj_0013multi,
Harmonious Fusion Track 14 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,241,music,bengali-folk; modern-bengali,88.0,https://www.youtube.com/watch?v=sj_0014multi,
Harmonious Fusion Track 15 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,248,music,bengali-folk; modern-bengali,89.0,https://www.youtube.com/watch?v=sj_0015multi,
Harmonious Fusion Track 16 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,255,music,bengali-folk; modern-bengali,90.0,https://www.youtube.com/watch?v=sj_0016multi,
Harmonious Fusion Track 17 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,262,music,bengali-folk; modern-bengali,91.0,https://www.youtube.com/watch?v=sj_0017multi,
Harmonious Fusion Track 18 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,269,music,bengali-folk; modern-bengali,92.0,https://www.youtube.com/watch?v=sj_0018multi,
Harmonious Fusion Track 19 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,276,music,bengali-folk; modern-bengali,93.0,https://www.youtube.com/watch?v=sj_0019multi,
Harmonious Fusion Track 20 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,283,music,bengali-folk; modern-bengali,94.0,https://www.youtube.com/watch?v=sj_0020multi,
Harmonious Fusion Track 21 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,290,music,bengali-folk; modern-bengali,75.0,https://www.youtube.com/watch?v=sj_0021multi,
Harmonious Fusion Track 22 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,297,music,bengali-folk; modern-bengali,76.0,https://www.youtube.com/watch?v=sj_0022multi,
Harmonious Fusion Track 23 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,304,music,bengali-folk; modern-bengali,77.0,https://www.youtube.com/watch?v=sj_0023multi,
Harmonious Fusion Track 24 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,311,music,bengali-folk; modern-bengali,78.0,https://www.youtube.com/watch?v=sj_0024multi,
Harmonious Fusion Track 25 - Bengali Folk & Modern Bengali,Sur o Jhankaar Ensemble,,318,music,bengali-folk; modern-bengali,79.0,https://www.youtube.com/watch?v=sj_0025multi,
Harmonious Fusion Track 26 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,240,music,bollywood-melody; roadside-nostalgia,75.0,https://www.youtube.com/watch?v=sj_0026multi,
Harmonious Fusion Track 27 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,247,music,bollywood-melody; roadside-nostalgia,76.0,https://www.youtube.com/watch?v=sj_0027multi,
Harmonious Fusion Track 28 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,254,music,bollywood-melody; roadside-nostalgia,77.0,https://www.youtube.com/watch?v=sj_0028multi,
Harmonious Fusion Track 29 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,261,music,bollywood-melody; roadside-nostalgia,78.0,https://www.youtube.com/watch?v=sj_0029multi,
Harmonious Fusion Track 30 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,268,music,bollywood-melody; roadside-nostalgia,79.0,https://www.youtube.com/watch?v=sj_0030multi,
Harmonious Fusion Track 31 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,275,music,bollywood-melody; roadside-nostalgia,80.0,https://www.youtube.com/watch?v=sj_0031multi,
Harmonious Fusion Track 32 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,282,music,bollywood-melody; roadside-nostalgia,81.0,https://www.youtube.com/watch?v=sj_0032multi,
Harmonious Fusion Track 33 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,289,music,bollywood-melody; roadside-nostalgia,82.0,https://www.youtube.com/watch?v=sj_0033multi,
Harmonious Fusion Track 34 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,296,music,bollywood-melody; roadside-nostalgia,83.0,https://www.youtube.com/watch?v=sj_0034multi,
Harmonious Fusion Track 35 - Bollywood Melody & Roadside Nostalgia,Sur o Jhankaar Ensemble,,303,music,bollywood-melody; roadside-nostalgia,84.0,https://www.youtube.com/watch?v=sj_0035multi,
